"CIUDAD";"CAMBIO DE DOMICILIO";"NACIONALIDAD";"fecha";"valor";"año";"mes"
"RÍO GRANDE";"A LA PROVINCIA";"ARGENTINOS";2001-01-01;43;2001;1
"RÍO GRANDE";"A LA PROVINCIA";"EXTRANJEROS";2001-01-01;0;2001;1
"RÍO GRANDE";"EN LA PROVINCIA";"ARGENTINOS";2001-01-01;13;2001;1
"RÍO GRANDE";"EN LA PROVINCIA";"EXTRANJEROS";2001-01-01;6;2001;1
"USHUAIA";"A LA PROVINCIA";"ARGENTINOS";2001-01-01;5;2001;1
"USHUAIA";"A LA PROVINCIA";"EXTRANJEROS";2001-01-01;0;2001;1
"USHUAIA";"EN LA PROVINCIA";"ARGENTINOS";2001-01-01;5;2001;1
"USHUAIA";"EN LA PROVINCIA";"EXTRANJEROS";2001-01-01;0;2001;1
"TOLHUIN";"A LA PROVINCIA";"ARGENTINOS";2001-01-01;0;2001;1
"TOLHUIN";"A LA PROVINCIA";"EXTRANJEROS";2001-01-01;0;2001;1
"TOLHUIN";"EN LA PROVINCIA";"ARGENTINOS";2001-01-01;0;2001;1
"TOLHUIN";"EN LA PROVINCIA";"EXTRANJEROS";2001-01-01;0;2001;1
"RÍO GRANDE";"A LA PROVINCIA";"ARGENTINOS";2001-02-01;439;2001;2
"RÍO GRANDE";"A LA PROVINCIA";"EXTRANJEROS";2001-02-01;15;2001;2
"RÍO GRANDE";"EN LA PROVINCIA";"ARGENTINOS";2001-02-01;249;2001;2
"RÍO GRANDE";"EN LA PROVINCIA";"EXTRANJEROS";2001-02-01;22;2001;2
"USHUAIA";"A LA PROVINCIA";"ARGENTINOS";2001-02-01;447;2001;2
"USHUAIA";"A LA PROVINCIA";"EXTRANJEROS";2001-02-01;41;2001;2
"USHUAIA";"EN LA PROVINCIA";"ARGENTINOS";2001-02-01;334;2001;2
"USHUAIA";"EN LA PROVINCIA";"EXTRANJEROS";2001-02-01;18;2001;2
"TOLHUIN";"A LA PROVINCIA";"ARGENTINOS";2001-02-01;27;2001;2
"TOLHUIN";"A LA PROVINCIA";"EXTRANJEROS";2001-02-01;1;2001;2
"TOLHUIN";"EN LA PROVINCIA";"ARGENTINOS";2001-02-01;32;2001;2
"TOLHUIN";"EN LA PROVINCIA";"EXTRANJEROS";2001-02-01;1;2001;2
"RÍO GRANDE";"A LA PROVINCIA";"ARGENTINOS";2001-03-01;363;2001;3
"RÍO GRANDE";"A LA PROVINCIA";"EXTRANJEROS";2001-03-01;6;2001;3
"RÍO GRANDE";"EN LA PROVINCIA";"ARGENTINOS";2001-03-01;237;2001;3
"RÍO GRANDE";"EN LA PROVINCIA";"EXTRANJEROS";2001-03-01;20;2001;3
"USHUAIA";"A LA PROVINCIA";"ARGENTINOS";2001-03-01;346;2001;3
"USHUAIA";"A LA PROVINCIA";"EXTRANJEROS";2001-03-01;11;2001;3
"USHUAIA";"EN LA PROVINCIA";"ARGENTINOS";2001-03-01;311;2001;3
"USHUAIA";"EN LA PROVINCIA";"EXTRANJEROS";2001-03-01;22;2001;3
"TOLHUIN";"A LA PROVINCIA";"ARGENTINOS";2001-03-01;13;2001;3
"TOLHUIN";"A LA PROVINCIA";"EXTRANJEROS";2001-03-01;1;2001;3
"TOLHUIN";"EN LA PROVINCIA";"ARGENTINOS";2001-03-01;34;2001;3
"TOLHUIN";"EN LA PROVINCIA";"EXTRANJEROS";2001-03-01;2;2001;3
"RÍO GRANDE";"A LA PROVINCIA";"ARGENTINOS";2001-04-01;236;2001;4
"RÍO GRANDE";"A LA PROVINCIA";"EXTRANJEROS";2001-04-01;7;2001;4
"RÍO GRANDE";"EN LA PROVINCIA";"ARGENTINOS";2001-04-01;157;2001;4
"RÍO GRANDE";"EN LA PROVINCIA";"EXTRANJEROS";2001-04-01;14;2001;4
"USHUAIA";"A LA PROVINCIA";"ARGENTINOS";2001-04-01;143;2001;4
"USHUAIA";"A LA PROVINCIA";"EXTRANJEROS";2001-04-01;7;2001;4
"USHUAIA";"EN LA PROVINCIA";"ARGENTINOS";2001-04-01;185;2001;4
"USHUAIA";"EN LA PROVINCIA";"EXTRANJEROS";2001-04-01;13;2001;4
"TOLHUIN";"A LA PROVINCIA";"ARGENTINOS";2001-04-01;18;2001;4
"TOLHUIN";"A LA PROVINCIA";"EXTRANJEROS";2001-04-01;0;2001;4
"TOLHUIN";"EN LA PROVINCIA";"ARGENTINOS";2001-04-01;9;2001;4
"TOLHUIN";"EN LA PROVINCIA";"EXTRANJEROS";2001-04-01;1;2001;4
